WKT;id;nombre;direccion;telefono;email;web;mecanica_s;horario_de;calle;altura;direccion_;barrio;comuna
POINT (-58.500357651509631 -34.565470410133869);95;Venton;Av Crisologo Larralde 5704;45680123;info@venton.com.ar/dario@venton.com.ar;http://www.venton.com.ar/;False;;Av Crisologo Larralde;5704;LARRALDE, CRISOLOGO AV. 5704;Villa Urquiza;Comuna 12
POINT (-58.492866511267025 -34.571387465529746);105;Venton;Av. Congreso 5336;45680123;info@venton.com.ar;https://www.facebook.com/pages/Venton-SRL/496803220343228?fref=ts;False;;Congreso;5336;CONGRESO AV. 5336;Villa Urquiza;Comuna 12
POINT (-58.401641710172832 -34.589317812091863);73;Via Bike;French 2695;48065566/1534322748;info@viabike.com.ar;https://www.facebook.com/viabikeweb/info;True;Lun a Vie de 10 a 20/Sáb de 10 a 13;French;2695;FRENCH 2695;Recoleta;Comuna 2
POINT (-58.379479294642039 -34.604583995817677);91;Via Bike;Suipacha 318;48065566/1534322748;info@viabike.com.ar;https://www.facebook.com/viabikeweb/info;True;Lun a Vie de 10 a 20/Sáb de 10 a 14;SUIPACHA;318;SUIPACHA 318;San Nicolas;Comuna 1
POINT (-58.475735007536827 -34.618259210603853);90;Victorian Bikes;Av Nazca 1303;45820116/39737209;victorianbike@hotmail.com;www.victorianbike.com.ar;True;Lun a Vier de 9.30 a 20/Sáb de 9.30 a 20;NAZCA;1303;NAZCA AV. 1303;Villa Santa Rita;Comuna 11
POINT (-58.42275414754679 -34.594785667208669);66;Vida Sana Bike;Gascon 1349;63803192;vidasana@yahoo.com.ar;www.vidasanabike.com.ar;False;Lun a Sáb de 10 a 19;GASCON;1349;GASCON 1349;Palermo;Comuna 14
POINT (-58.516327464866151 -34.610121680147451);87;Viento Bikes;José Pedro Varela 4735;;;;False;;jose pedro varela;4735;VARELA, JOSE PEDRO 4735;Villa Devoto;Comuna 11
POINT (-58.516386299681805 -34.610058553375616);89;Viento Bikes;Jose Pedro Varela 4735;46390616;vientobikes@gmail.com;http://vientobikes.blogspot.com.ar - www.facebook.com/vientobikes;False;;Jose Pedro Varela;4735;VARELA, JOSE PEDRO 4735;Villa Devoto;Comuna 11
POINT (-58.415342960345164 -34.653351621289524);3;Walter;Linch 3914;49122738;walterbikes-10@hotmail.com;;False;;LYNCH;3914;LYNCH 3914;Nueva Pompeya;Comuna 4
POINT (-58.495439580278848 -34.60190002960541);47;Zotta;R. Gutierrez 3222;45031882;info@zotta.com.ar;http://www.zotta.com.ar;False;Lun a Vier de 8.30 a 13 y de 14 a 18/Sáb de 8.30 a 13.30;GUTIERREZ, RICARDO;3222;GUTIERREZ, RICARDO 3222;Villa Del Parque;Comuna 11
